"","mean_norm_counts","log2FoldChange"
"Gene_0",102.172462670116,0.0456596073040905
"Gene_1",103.075210675341,-0.0816223362316479
"Gene_2",103.373272003897,-0.0688854443158222
"Gene_3",99.235800218155,0.0122600210996169
"Gene_4",98.5143927593372,-5.11634693648982e-05
"Gene_5",100.977141869311,0.00635221163324629
"Gene_6",101.304648390489,-0.0567896190925616
"Gene_7",98.0927324394161,0.164985817000429
"Gene_8",99.3382613864753,-0.100645072043683
"Gene_9",99.5626592808624,-0.0303493852241866
"Gene_10",99.5844259709167,-0.0152003627733526
"Gene_11",99.7614979240206,-3.86439554609805e-05
"Gene_12",98.8172403309517,0.00576968731551063
"Gene_13",100.930155379534,0.0191684639493926
"Gene_14",100.557302269178,0.00282730095706978
"Gene_15",98.715126313568,0.0159621804270006
"Gene_16",97.4679655304648,0.036822194987971
"Gene_17",99.6871899824096,-0.0396602794985303
"Gene_18",100.007771116323,-0.0359745377691661
"Gene_19",100.930780314009,-0.00930669091958713
"Gene_20",99.5846964851214,0.026627872911771
"Gene_21",98.2666520164445,0.0233553315036796
"Gene_22",97.7430835216929,0.033031127855102
"Gene_23",97.0696197036899,-0.0444803137216306
"Gene_24",99.2897883241605,0.0745098921385484
"Gene_25",99.6566270292578,-0.0548801464957018
"Gene_26",101.154870268359,-0.0327158930891988
"Gene_27",98.9639866208755,0.017409994779841
"Gene_28",101.229994652093,-0.108694221986423
"Gene_29",99.412905608773,-0.0622150860227779
"Gene_30",97.2435479572855,0.0154455729164894
"Gene_31",100.435030096711,-0.000752494521279654
"Gene_32",100.903333799104,0.0369953593959094
"Gene_33",99.7362014396663,0.000686575603537866
"Gene_34",104.269327807846,0.00472346974428594
"Gene_35",99.3121422742231,0.0346836103424189
"Gene_36",99.8604494841858,-0.0633781999347194
"Gene_37",102.375344730262,-0.0246139547822864
"Gene_38",98.0654750294279,0.00435158100115123
"Gene_39",100.185257498772,0.00209307208732361
"Gene_40",102.025089423399,-0.0486475787938509
"Gene_41",101.626178135922,0.0133827473834382
"Gene_42",100.009909754285,-0.00867408950641833
"Gene_43",97.245291936098,-0.0761639798037079
"Gene_44",98.9619939018609,-0.0537816421933895
"Gene_45",99.2633130482298,0.00718459200466351
"Gene_46",98.5156022890331,0.0787788174365623
"Gene_47",97.4190980252106,0.0250398482190799
"Gene_48",98.8892534021127,0.0341065672338991
"Gene_49",104.118098594711,0.0586056196668018
"Gene_50",97.5666383175031,0.123744941555267
"Gene_51",97.6951298479608,0.0124569192136841
"Gene_52",100.732483610501,0.0063785629611292
"Gene_53",97.7937267211055,0.0609451123451221
"Gene_54",99.9845963835104,-0.0798535337662284
"Gene_55",99.3373854501908,-0.0904912501511241
"Gene_56",99.9105704357136,-0.0360042613380172
"Gene_57",101.951171852605,0.0366078695772013
"Gene_58",98.3640958576745,-0.0278294158469644
"Gene_59",102.349678099609,-0.0239244609846153
"Gene_60",100.357512310273,-0.0243975946965554
"Gene_61",101.551021825646,0.0353516973824671
"Gene_62",101.703591520647,0.0140901382135643
"Gene_63",99.6107342670381,0.0793208673097695
