baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	178.379986958434	0.113078637006335	0.105910976674516	1.06767627451729	0.285666564184799	0.869300783557508
ENSG00000000419	674.760616595935	-0.0202432674007403	0.0852587248845608	-0.237433382074965	0.812320594873963	0.981388550743958
ENSG00000000457	114.099810435046	0.0249680332760899	0.105378624767021	0.236936412211594	0.812706121279344	0.981388550743958
ENSG00000000460	16.3941359586907	0.0481032264171951	0.235064897882137	0.204638067404323	0.837854911248702	0.986796434240075
ENSG00000000938	34.5351306755138	0.289637148962749	0.249139174615639	1.16255161160259	0.245011472939215	0.852582324310782
ENSG00000000971	821.579056950893	0.237393149370429	0.183386532046352	1.29449609369583	0.19549411771463	0.82754491641816
ENSG00000001036	376.257718486513	0.00350622608603236	0.0928333159953434	0.0377690492733044	0.969871821858655	0.998013399216701
ENSG00000001084	378.635779434849	-0.0400427116493241	0.10656959208342	-0.375742375160635	0.70710843157945	0.967627237734414
ENSG00000001167	160.39379361646	0.0556549389012488	0.0853425226826783	0.652136088221644	0.514313385203143	0.935886738102918
ENSG00000001460	69.6991309558355	0.103487056304934	0.123591979839452	0.837328250905645	0.402408083615701	0.91104485624575
ENSG00000001461	728.338147371197	0.00974414125230412	0.0728405918080339	0.133773504723631	0.893581679019177	0.991336265116797
ENSG00000001497	256.261066332718	-0.154680883345144	0.108068419589359	-1.43132363675628	0.152337482695428	0.804125782451175
ENSG00000001561	650.403491954943	0.0624437910897611	0.0997323681061938	0.626113590557398	0.531240438619579	0.940678218408398
ENSG00000001617	168.35940286553	-0.121575736047845	0.144293485835721	-0.842558729132509	0.399475280995513	0.9104306545317
ENSG00000001629	447.352489942254	0.0630386676745463	0.084639289835811	0.744792020311524	0.456397459601568	0.926147293914804
ENSG00000001631	422.152241777217	-0.0184637808885659	0.0797969537131947	-0.231384533235795	0.817016079862685	0.981978510120149
ENSG00000002016	74.5978365769732	-0.0629593548567964	0.162014264101669	-0.388603776376673	0.697569272794201	0.966746083573041
ENSG00000002330	60.8243230884472	-0.120485409634829	0.277960495553624	-0.433462350089908	0.664678912518205	0.961627281799574
ENSG00000002549	1272.72536785138	0.0726219187207835	0.0687899676918149	1.05570508545863	0.291102973051056	0.872057352726136
ENSG00000002586	1987.85418430916	0.0851703796849115	0.0847515828087911	1.0049414637726	0.314925037157098	0.880756661024559
ENSG00000002587	19.3623246992624	0.750991789665236	0.31057739851028	2.4180503580346	0.0156039171702009	0.645056628219167
ENSG00000002822	144.067397941491	0.0405333733983676	0.129754448533418	0.312385231153969	0.754747773017879	0.975397521184334
ENSG00000002834	642.732197668129	0.102248364563745	0.0988405824016383	1.03447756052529	0.300912961805677	0.876904526267159
ENSG00000002919	196.691457933763	0.00793885453006777	0.0756952001760516	0.104879232918383	0.916471637804656	0.992637950896338
ENSG00000002933	178.161984987505	0.214154367356386	0.238042853431315	0.89964627910234	0.368308520482631	0.89948957186311
